,,,"1,00%",,"1,49%","2,33%",,"-1,79%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,132,"133,32",Si,"132,02","-0,98%","127,69","-4,22%",,"129,22","-3,08%","-2,09%",No,12976060,Si,"27,30%",-340%,-75%,"0,00",0,"-1,79%",0
,08/11/2021,"138,51","139,90",Si,"138,59","-0,93%","132,6","-5,21%",,"134,82","-3,63%","0,33%",No,9630550,Si,"-5,52%",-330%,-116%,"0,00",0,"-1,79%",0
,08/10/2021,"142,91","144,34",Si,143,"-0,93%","135,3","-6,26%",,"138,06","-4,35%","0,64%",No,6403937,Si,"-37,17%",-329%,-160%,"0,00",0,"-1,79%",0
,08/09/2021,"143,49","144,92",Si,"143,69","-0,85%","141,45","-2,40%",,142,"-2,02%","0,59%",No,4026620,No,"-60,50%",-310%,1%,"0,00",0,"-1,79%",0
,08/06/2021,"141,72","143,14",Si,"143,16","0,02%","141,59","-1,08%",,"142,65","-0,34%","-0,39%",No,3843579,No,"-62,29%",-96%,55%,"1,00",0,"-0,34%",0
,08/05/2021,"143,43","144,86",Si,"143,88","-0,68%","141,16","-2,56%",,"142,27","-1,79%","0,47%",No,4282236,No,"-57,99%",-268%,-6%,"0,00",0,"-1,79%",0
,08/04/2021,143,"144,43",Si,"144,7","0,19%","141,81","-1,81%",,"142,76","-1,16%","0,59%",No,5434554,Si,"-46,68%",-54%,25%,"0,00",0,"-1,79%",0
,08/03/2021,"142,54","143,97",Si,"143,36","-0,42%","140,24","-2,59%",,"142,16","-1,25%","0,37%",No,5589581,Si,"-45,16%",-204%,-7%,"0,00",0,"-1,79%",0
,08/02/2021,"141,04","142,45",Si,"145,25","1,97%","140,89","-1,10%",0,"142,01","-0,31%","0,79%",Si,10230560,Si,"0,37%",385%,55%,"1,00",0,"-0,31%",0
,07/30/2021,"136,5","137,87",Si,"141,4","2,56%","136,47","-1,01%",0,"139,93","1,50%","-0,73%",Si,8556354,Si,"-16,06%",532%,58%,"1,00",1,"2,33%",1
,07/29/2021,"135,41","136,76",Si,"137,86","0,80%","133,51","-2,38%",,"137,5","0,54%","-1,31%",No,5382571,Si,"-47,19%",98%,1%,"0,00",0,"-1,79%",0
,07/28/2021,"135,63","136,99",Si,"137,88","0,65%",135,"-1,45%",,"137,21","0,16%","0,54%",No,5041918,Si,"-50,54%",61%,40%,"1,00",0,"0,16%",1
,07/27/2021,"137,63","139,01",Si,"137,63","-0,99%","131,58","-5,34%",,"134,9","-2,95%","-0,61%",No,6344109,Si,"-37,76%",-344%,-122%,"0,00",0,"-1,79%",0
,07/26/2021,"138,23","139,61",Si,"139,88","0,19%","137,44","-1,56%",,"138,48","-0,81%","-0,14%",No,4638462,No,"-54,49%",-53%,35%,"1,00",0,"-0,81%",0
,07/23/2021,"137,95","139,33",Si,139,"-0,24%","136,53","-2,01%",,"138,43","-0,65%","0,56%",No,4345643,No,"-57,37%",-158%,17%,"0,00",0,"-1,79%",0
,07/22/2021,137,"138,37",Si,"138,75","0,27%","136,37","-1,45%",,"137,18","-0,86%","-0,72%",No,5563982,Si,"-45,41%",-32%,40%,"1,00",0,"-0,86%",0
,07/21/2021,"132,83","134,16",Si,"138,27","3,06%","132,53","-1,21%",0,138,"2,86%","0,65%",Si,6434062,Si,"-36,88%",656%,50%,"1,00",1,"2,33%",1
