,,,"1,00%",,"5,80%","7,29%",,"-7,34%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"30,91","31,22",Si,"34,1","9,23%","30,75","-1,50%",,"33,07","5,93%","-2,03%",Si,71204130,Si,"222,37%",370%,65%,"1,00",1,"7,29%",1
,08/11/2021,"31,58","31,90",Si,"31,91","0,04%","29,4","-7,82%",,"31,55","-1,08%","-0,54%",No,69684260,Si,"215,49%",-98%,-81%,"0,00",0,"-7,34%",0
,08/10/2021,"36,9","37,27",Si,"37,16","-0,29%","31,44","-15,64%",,"31,75","-14,81%","9,17%",No,116181500,Si,"426,01%",-115%,-263%,"0,00",0,"-7,34%",0
,08/09/2021,"32,68","33,01",Si,"35,38","7,19%","32,35","-1,99%",,"33,8","2,40%","-0,06%",Si,81054620,Si,"266,97%",266%,54%,"1,00",0,"2,40%",1
,08/06/2021,"33,42","33,75",Si,"33,58","-0,52%","31,57","-6,47%",,"32,7","-3,12%","-0,27%",No,52858830,Si,"139,32%",-126%,-50%,"1,00",0,"-3,12%",0
,08/05/2021,"31,08","31,39",Si,"34,12","8,69%","28,91","-7,90%",,"33,51","6,75%","4,16%",No,108565100,Si,"391,53%",343%,-83%,"0,00",1,"-7,34%",0
,08/04/2021,"34,43","34,77",Si,"35,24","1,34%","29,81","-14,28%",,"29,84","-14,19%","2,50%",No,85496570,Si,"287,08%",-32%,-231%,"0,00",0,"-7,34%",0
,08/03/2021,"35,16","35,51",Si,"35,21","-0,85%","32,78","-7,69%",,"33,59","-5,41%","-0,11%",No,61740110,Si,"179,53%",-143%,-78%,"0,00",0,"-7,34%",0
,08/02/2021,"37,58","37,96",Si,"38,48","1,38%","35,01","-7,76%",0,"35,2","-7,26%","1,51%",No,59061670,Si,"167,40%",-30%,-80%,"0,00",0,"-7,34%",0
,07/30/2021,"37,54","37,92",Si,"39,19","3,36%","36,79","-2,97%",0,"37,02","-2,36%","-1,55%",Si,52996170,Si,"139,94%",71%,31%,"1,00",0,"-2,36%",0
,07/29/2021,38,"38,38",Si,"40,25","4,87%","37,47","-2,37%",,"38,13","-0,65%","-2,31%",Si,59446200,Si,"169,14%",148%,45%,"1,00",0,"-0,65%",0
,07/28/2021,"37,41","37,78",Si,"39,56","4,70%","36,08","-4,51%",,"38,9","2,95%","-1,58%",Si,71021420,Si,"221,55%",139%,-5%,"1,00",0,"2,95%",1
,07/27/2021,"39,99","40,39",Si,"40,3","-0,22%","37,06","-8,24%",,"38,01","-5,89%","-0,74%",No,55288890,Si,"150,32%",-111%,-91%,"0,00",0,"-7,34%",0
,07/26/2021,"38,32","38,70",Si,"40,85","5,55%","37,57","-2,93%",,"40,29","4,10%","3,60%",No,97977560,Si,"343,59%",182%,32%,"1,00",0,"4,10%",1
,07/23/2021,"37,78","38,16",Si,"38,4","0,63%","34,69","-9,09%",,"36,99","-3,06%","1,45%",No,85474780,Si,"286,98%",-68%,-111%,"0,00",0,"-7,34%",0
,07/22/2021,"40,16","40,56",Si,"41,74","2,91%","37,15","-8,41%",,"37,24","-8,19%","-1,52%",Si,93985850,Si,"325,52%",48%,-95%,"0,00",0,"-7,34%",0
,07/21/2021,"41,8","42,22",Si,"46,55","10,26%","40,11","-4,99%",0,"40,78","-3,41%","-2,99%",Si,158023700,Si,"615,45%",422%,-16%,"1,00",1,"7,29%",1
,07/20/2021,"35,14","35,49",Si,"44,39","25,07%","35,13","-1,02%",0,"43,09","21,41%","1,50%",No,168673400,Si,"663,66%",1177%,76%,"1,00",1,"7,29%",1
,07/19/2021,"32,95","33,28",Si,"35,34","6,19%","31,15","-6,40%",0,"34,62","4,03%","-5,75%",Si,112891300,Si,"411,11%",215%,-48%,"1,00",0,"4,03%",1
,07/16/2021,"37,83","38,21",Si,"38,55","0,89%","34,3","-10,23%",,"34,96","-8,50%","5,08%",No,126825700,Si,"474,20%",-54%,-137%,"0,00",0,"-7,34%",0
,07/15/2021,"32,2","32,52",Si,"37,4","15,00%","32,14","-1,17%",,36,"10,69%","-3,68%",Si,199584500,Si,"803,61%",664%,73%,"1,00",1,"7,29%",1
,07/14/2021,"38,8","39,19",Si,"39,13","-0,15%","33,25","-15,15%",,"33,43","-14,69%","-1,40%",No,137830700,Si,"524,02%",-108%,-251%,"0,00",0,"-7,34%",0
,07/13/2021,"40,57","40,98",Si,"42,14","2,84%","38,7","-5,55%",,"39,35","-3,97%","-4,79%",Si,86807270,Si,"293,02%",45%,-29%,"1,00",0,"-3,97%",0
