,,,,"1,00%",,"0,90%","0,11%",,"-2,29%",,,,,,,,,,,,,
,A,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,1,08/12/2021,"191,17","193,08",Si,"192,98","-0,05%","189,69","-1,76%","191,66","-0,74%","-1,89%",No,12885440,Si,"-25,61%",-150%,23%,"1,00",0,"-0,74%",0
,2,08/11/2021,"196,6","198,57",Si,"196,92","-0,83%","194,73","-1,93%","194,86","-1,87%","0,44%",No,8985075,Si,"-48,13%",-884%,15%,"1,00",0,"-1,87%",0
,3,08/10/2021,"197,27","199,24",Si,"198,45","-0,40%","195,07","-2,09%","195,73","-1,76%","1,03%",No,9983680,Si,"-42,37%",-476%,8%,"1,00",0,"-1,76%",0
,4,08/09/2021,"194,58","196,53",Si,"195,5","-0,52%","192,82","-1,89%","195,25","-0,65%","-0,92%",No,14657160,Si,"-15,39%",-594%,17%,"1,00",0,"-0,65%",0
,5,08/06/2021,"199,25","201,24",Si,"199,32","-0,96%","195,68","-2,76%","196,39","-2,41%","-0,02%",No,11967720,Si,"-30,91%",-1004%,-21%,"0,00",0,"-2,29%",0
,6,08/05/2021,"199,27","201,26",Si,"200,29","-0,48%","197,64","-1,80%","199,28","-0,99%","-0,72%",No,9881409,Si,"-42,96%",-557%,21%,"1,00",0,"-0,99%",0
,7,08/04/2021,"197,49","199,46",Si,"203,28","1,91%","196,91","-1,28%","200,71","0,62%","0,06%",Si,22327280,Si,"28,89%",1710%,44%,"1,00",1,"0,11%",1
,8,08/03/2021,"195,01","196,96",Si,"197,44","0,24%",192,"-2,52%","197,38","0,21%","-2,54%",No,20115920,Si,"16,13%",131%,-11%,"0,00",1,"-2,29%",0
,9,08/02/2021,"196,27","198,23",Si,"202,07","1,94%","196,25","-1,00%","200,09","0,94%","0,55%",Si,17889190,Si,"3,27%",1732%,56%,"1,00",1,"0,11%",1
,10,07/30/2021,"190,58","192,49",Si,"196,05","1,85%","190,49","-1,04%","195,19","1,40%","-3,52%",Si,17250600,Si,"-0,42%",1652%,54%,"1,00",1,"0,11%",1
,11,07/29/2021,"201,05","203,06",Si,"201,14","-0,95%","194,91","-4,01%","197,54","-2,72%","2,57%",No,23363230,Si,"34,87%",-995%,-76%,"0,00",0,"-2,29%",0
,12,07/28/2021,"190,23","192,13",Si,198,"3,05%","189,76","-1,23%","196,01","2,02%","2,24%",No,34535180,Si,"99,37%",2790%,46%,"1,00",1,"0,11%",1
,13,07/27/2021,"183,59","185,43",Si,"186,9","0,79%","179,67","-3,10%","186,07","0,35%","-4,26%",No,59265660,Si,"242,13%",652%,-36%,"0,00",1,"-2,29%",0
,14,07/26/2021,"198,37","200,35",Si,"198,58","-0,89%","190,88","-4,73%","191,76","-4,29%","-3,95%",No,55736770,Si,"221,76%",-938%,-108%,"0,00",0,"-2,29%",0
,15,07/23/2021,"206,29","208,35",Si,"206,89","-0,70%","203,56","-2,30%","206,53","-0,87%","-3,62%",No,25539860,Si,"47,44%",-764%,-1%,"0,00",0,"-2,29%",0
,16,07/22/2021,"212,64","214,77",Si,"216,39","0,76%","212,6","-1,01%","214,04","-0,34%","0,74%",No,10563110,Si,"-39,02%",615%,56%,"1,00",1,"0,11%",1
,17,07/21/2021,"209,15","211,24",Si,"211,85","0,29%","208,42","-1,34%","211,08","-0,08%","-0,68%",No,7650329,Si,"-55,84%",173%,41%,"1,00",1,"0,11%",1
,18,07/20/2021,209,"211,09",Si,"211,5","0,19%","207,47","-1,71%","210,59","-0,24%","0,04%",No,9986819,Si,"-42,35%",84%,25%,"1,00",1,"0,11%",1
,19,07/19/2021,"206,1","208,16",Si,"209,08","0,44%","203,24","-2,36%","208,91","0,36%","-2,83%",No,15865820,Si,"-8,41%",318%,-4%,"0,00",1,"-2,29%",0
,20,07/16/2021,"214,85","217,00",Si,"215,2","-0,83%","211,46","-2,55%","212,1","-2,26%","0,04%",No,11150240,Si,"-35,63%",-884%,-12%,"0,00",0,"-2,29%",0
,21,07/15/2021,"215,11","217,26",Si,"216,6","-0,30%","213,16","-1,89%","214,76","-1,15%","1,71%",No,14283580,Si,"-17,54%",-388%,17%,"1,00",0,"-1,15%",0
,22,07/14/2021,"215,5","217,66",Si,"216,35","-0,60%","211,03","-3,04%","211,5","-2,83%","2,86%",No,19484210,Si,"12,48%",-667%,-34%,"0,00",0,"-2,29%",0
,23,07/13/2021,"209,23","211,32",Si,"212,81","0,70%","208,19","-1,48%","209,51","-0,86%","1,82%",No,17375880,Si,"0,31%",566%,35%,"1,00",1,"0,11%",1
,24,07/12/2021,"203,9","205,94",Si,"206,46","0,25%","203,02","-1,42%","205,48","-0,22%","-0,99%",No,11259480,Si,"-35,00%",139%,38%,"1,00",1,"0,11%",1
,25,07/09/2021,"202,05","204,07",Si,"207,27","1,57%","201,5","-1,26%","205,94","0,92%","1,10%",No,16911270,Si,"-2,37%",1384%,45%,"1,00",1,"0,11%",1
,26,07/08/2021,"201,71","203,73",Si,"202,28","-0,71%","198,26","-2,68%","199,85","-1,90%","-3,02%",No,33992500,Si,"96,23%",-772%,-18%,"0,00",0,"-2,29%",0
,27,07/07/2021,"211,61","213,73",Si,"212,05","-0,78%","207,82","-2,76%",208,"-2,68%","0,00%",No,18340420,Si,"5,88%",-842%,-21%,"0,00",0,"-2,29%",0
,28,07/06/2021,"215,32","217,47",Si,"215,4","-0,95%","209,37","-3,73%","211,6","-2,70%","-1,12%",No,23719920,Si,"36,93%",-1002%,-64%,"0,00",0,"-2,29%",0
,29,07/02/2021,"219,16","221,35",Si,"219,5","-0,84%","216,46","-2,21%","217,75","-1,63%","-1,22%",No,12998040,Si,"-24,96%",-892%,3%,"1,00",0,"-1,63%",0
,30,07/01/2021,"228,07","230,35",Si,"228,85","-0,65%","221,55","-3,82%","221,87","-3,68%","0,57%",No,13327740,Si,"-23,06%",-716%,-68%,"0,00",0,"-2,29%",0
,31,06/30/2021,"226,99","229,26",Si,"227,98","-0,56%","225,68","-1,56%","226,78","-1,08%","-1,07%",No,9348629,Si,"-46,03%",-628%,31%,"1,00",0,"-1,08%",0
,32,06/29/2021,"226,7","228,97",Si,"229,64","0,29%","225,6","-1,47%","229,44","0,21%","-0,83%",No,10273760,Si,"-40,69%",178%,35%,"1,00",1,"0,11%",1
,33,06/28/2021,"229,5","231,80",Si,"230,89","-0,39%","226,72","-2,19%","228,59","-1,38%","0,44%",No,13564910,Si,"-21,69%",-469%,4%,"1,00",0,"-1,38%",0
,34,06/25/2021,"221,71","223,93",Si,"230,25","2,82%","221,1","-1,26%","228,5","2,04%","1,52%",No,27383930,Si,"58,08%",2572%,45%,"1,00",1,"0,11%",1
,35,06/24/2021,"216,99","219,16",Si,"219,58","0,19%","215,56","-1,64%","218,38","-0,36%","0,99%",No,13488240,Si,"-22,13%",81%,28%,"1,00",1,"0,11%",1
,36,06/23/2021,"214,19","216,33",Si,"216,33","0,00%","213,13","-1,48%","214,86","-0,68%","1,36%",No,13785780,Si,"-20,42%",-101%,35%,"1,00",0,"-0,68%",0
