,,,"1,00%",,"1,18%","-0,03%",,"-2,00%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"102,86","103,89",Si,"103,25","-0,61%","101,78","-2,03%",,"102,64","-1,20%","0,01%",No,7378419,Si,"-4,61%",1995%,-2%,"0,00",0,"-2,00%",0
,08/11/2021,"102,04","103,06",Si,"102,97","-0,09%","101,6","-1,42%",,"102,85","-0,20%","-0,04%",No,7079767,Si,"-8,47%",199%,29%,"1,00",0,"-0,20%",0
,08/10/2021,"100,74","101,75",Si,"102,32","0,56%","100,58","-1,15%",,"102,08","0,33%","0,49%",No,9762631,Si,"26,22%",-2018%,42%,"1,00",1,"-0,03%",0
,08/09/2021,"100,91","101,92",Si,"101,38","-0,53%","99,93","-1,95%",,"100,25","-1,64%","-1,02%",No,9243086,Si,"19,50%",1702%,2%,"1,00",0,"-1,64%",0
,08/06/2021,"102,02","103,04",Si,"102,58","-0,45%","101,6","-1,40%",,"101,95","-1,06%","0,78%",No,6475592,Si,"-16,28%",1422%,30%,"1,00",0,"-1,06%",0
,08/05/2021,"100,94","101,95",Si,"102,43","0,47%","100,67","-1,25%",,"101,23","-0,71%","0,64%",No,7986071,Si,"3,25%",-1706%,37%,"1,00",1,"-0,03%",0
,08/04/2021,"100,44","101,44",Si,"101,9","0,45%","100,1","-1,33%",,"100,3","-1,13%","-2,11%",No,10389810,Si,"34,33%",-1630%,33%,"1,00",1,"-0,03%",0
,08/03/2021,"101,59","102,61",Si,"102,91","0,30%","100,67","-1,89%",,"102,6","-0,01%","-0,04%",No,8437326,Si,"9,08%",-1110%,5%,"1,00",1,"-0,03%",0
,08/02/2021,"102,08","103,10",Si,"103,98","0,85%","101,56","-1,49%",0,"101,63","-1,43%","0,27%",No,8911806,Si,"15,22%",-3006%,25%,"1,00",1,"-0,03%",0
,07/30/2021,"103,06","104,09",Si,"104,05","-0,04%","100,77","-3,19%","-0,19%","101,81","-2,19%","0,48%",No,12295290,Si,"58,96%",33%,-60%,"0,00",0,"-2,00%",0
,07/29/2021,"102,38","103,40",Si,"102,88","-0,51%","101,94","-1,42%",,"102,57","-0,81%","1,19%",No,8681341,Si,"12,24%",1626%,29%,"1,00",0,"-0,81%",0
,07/28/2021,"100,9","101,91",Si,"101,81","-0,10%","100,28","-1,60%",,"101,18","-0,72%","0,29%",No,8546112,Si,"10,49%",231%,20%,"1,00",0,"-0,72%",0
,07/27/2021,"100,05","101,05",Si,"100,72","-0,33%","98,94","-2,09%",,"100,61","-0,44%","-0,89%",No,8332082,Si,"7,72%",1014%,-5%,"0,00",0,"-2,00%",0
,07/26/2021,"99,46","100,45",Si,"101,26","0,80%","99,44","-1,01%",,"100,95","0,49%","0,61%",No,10227460,Si,"32,23%",-2832%,49%,"1,00",1,"-0,03%",0
,07/23/2021,"98,8","99,79",Si,"99,12","-0,67%","97,94","-1,85%",,"98,86","-0,93%","-0,02%",No,7570757,Si,"-2,12%",2181%,7%,"1,00",0,"-0,93%",0
,07/22/2021,"99,4","100,39",Si,"99,41","-0,98%","97,89","-2,49%",,"98,82","-1,57%","-0,42%",No,7694255,Si,"-0,52%",3240%,-25%,"0,00",0,"-2,00%",0
,07/21/2021,"97,98","98,96",Si,"100,47","1,53%","97,7","-1,27%",0,"99,82","0,87%","1,50%",No,11478150,Si,"48,40%",-5300%,36%,"1,00",1,"-0,03%",0
,07/20/2021,"95,89","96,85",Si,"98,04","1,23%","95,05","-1,86%",0,"96,53","-0,33%","-0,07%",Si,12114570,Si,"56,63%",-4291%,7%,"1,00",1,"-0,03%",0
,07/19/2021,"95,82","96,78",Si,"96,95","0,18%","94,52","-2,33%",0,"95,96","-0,85%","-2,84%",No,17385520,Si,"124,77%",-705%,-17%,"0,00",1,"-2,00%",0
