,,,"1,00%",,"2,50%","3,65%",,"-2,91%",,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"52,16","52,68",Si,"54,72","3,87%","51,52","-2,20%","54,61","3,66%","-0,04%",Si,17371270,Si,"25,25%",80%,49%,"1,00",1,"3,65%",1
,08/11/2021,"52,02","52,54",Si,"52,69","0,29%","50,72","-3,46%","52,18","-0,69%","0,08%",No,10967700,Si,"-20,92%",-87%,20%,"0,00",0,"-2,91%",0
,08/10/2021,"52,46","52,98",Si,"53,97","1,86%","51,62","-2,58%","51,98","-1,90%","0,19%",Si,19360320,Si,"39,59%",-14%,41%,"1,00",0,"-1,90%",0
,08/09/2021,"52,5","53,03",Si,"52,95","-0,14%","50,96","-3,89%","52,36","-1,25%","1,76%",No,27050560,Si,"95,04%",-107%,11%,"0,00",0,"-2,91%",0
,08/06/2021,"52,79","53,32",Si,"53,79","0,89%","50,16","-5,92%","51,59","-3,24%","4,58%",No,32429840,Si,"133,83%",-59%,-36%,"0,00",0,"-2,91%",0
,08/05/2021,"48,95","49,44",Si,"50,72","2,59%","48,55","-1,80%","50,48","2,10%","0,58%",Si,11230580,Si,"-19,02%",20%,59%,"1,00",0,"2,10%",1
,08/04/2021,"47,99","48,47",Si,"49,19","1,49%","47,75","-1,49%","48,67","0,41%","-0,83%",Si,5284874,Si,"-61,89%",-31%,66%,"1,00",0,"0,41%",1
,08/03/2021,"48,81","49,30",Si,"48,96","-0,69%","47,47","-3,71%","48,39","-1,84%","-0,39%",No,6279618,Si,"-54,72%",-132%,15%,"0,00",0,"-2,91%",0
,08/02/2021,"48,9","49,39",Si,"49,87","0,97%","48,5","-1,80%",49,"-0,79%","0,82%",No,5941842,Si,"-57,16%",-55%,59%,"1,00",0,"-0,79%",0
,07/30/2021,"49,36","49,85",Si,"50,03","0,35%","48,06","-3,60%","48,5","-2,72%","-0,86%",No,7637307,Si,"-44,93%",-84%,17%,"0,00",0,"-2,91%",0
,07/29/2021,"50,91","51,42",Si,"51,27","-0,29%","49,64","-3,46%","49,79","-3,17%","0,51%",No,7788532,Si,"-43,84%",-113%,21%,"0,00",0,"-2,91%",0
,07/28/2021,"48,98","49,47",Si,"50,9","2,89%","48,9","-1,15%","50,65","2,39%","0,43%",Si,9487734,Si,"-31,59%",34%,74%,"1,00",0,"2,39%",1
,07/27/2021,"48,84","49,33",Si,"49,67","0,69%","47,4","-3,91%","48,77","-1,13%","-0,77%",No,8103135,Si,"-41,57%",-68%,10%,"0,00",0,"-2,91%",0
,07/26/2021,"49,18","49,67",Si,"49,86","0,38%","48,23","-2,90%","49,22","-0,91%","-0,30%",No,6437038,Si,"-53,59%",-82%,33%,"1,00",0,"-0,91%",0
,07/23/2021,"49,29","49,78",Si,"50,01","0,46%","48,68","-2,22%","49,33","-0,91%","0,10%",No,7041700,Si,"-49,23%",-79%,49%,"1,00",0,"-0,91%",0
,07/22/2021,"48,9","49,39",Si,"49,31","-0,16%","48,13","-2,55%","49,24","-0,30%","0,04%",No,6725259,Si,"-51,51%",-107%,41%,"1,00",0,"-0,30%",0
,07/21/2021,"46,92","47,39",Si,"49,18","3,78%","46,58","-1,71%","48,88","3,15%","2,40%",No,15419020,Si,"11,18%",76%,61%,"1,00",1,"3,65%",1
,07/20/2021,"44,76","45,21",Si,"46,12","2,02%","43,84","-3,03%","45,82","1,35%","0,22%",Si,8024799,Si,"-42,14%",-6%,31%,"0,00",0,"-2,91%",0
