,,,"1,00%",,"1,13%","2,20%",,"-1,60%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"54,44","54,98",Si,"55,04","0,10%","54,19","-1,44%",,"54,62","-0,66%","0,31%",No,10766210,Si,"-19,93%",-52%,37%,"1,00",0,"-0,66%",0
,08/11/2021,"54,42","54,96",Si,"54,5","-0,84%","53,45","-2,75%",,"54,27","-1,26%","0,29%",No,15814570,Si,"17,62%",-502%,-20%,"0,00",0,"-1,60%",0
,08/10/2021,54,"54,54",Si,"54,38","-0,29%","53,66","-1,61%",,"54,26","-0,51%","0,09%",No,14479060,Si,"7,69%",-240%,30%,"0,00",0,"-1,60%",0
,08/09/2021,"54,27","54,81",Si,"54,37","-0,81%","53,4","-2,58%",,"53,95","-1,57%","-1,42%",No,16079980,Si,"19,59%",-485%,-12%,"0,00",0,"-1,60%",0
,08/06/2021,"54,81","55,36",Si,"55,35","-0,01%","54,26","-1,98%",,"55,05","-0,56%","0,68%",No,14970100,Si,"11,34%",-107%,13%,"0,00",0,"-1,60%",0
,08/05/2021,"53,86","54,40",Si,"54,88","0,88%","53,55","-1,56%",,"54,44","0,08%","2,16%",No,28571440,Si,"112,50%",322%,32%,"1,00",0,"0,08%",1
,08/04/2021,"55,23","55,78",Si,"55,45","-0,60%","52,21","-6,40%",,"52,72","-5,49%","-4,58%",No,67667170,Si,"403,26%",-384%,-179%,"0,00",0,"-1,60%",0
,08/03/2021,"57,47","58,04",Si,"57,96","-0,15%","56,61","-2,47%",,"57,88","-0,28%","0,77%",No,12273520,Si,"-8,72%",-170%,-8%,"0,00",0,"-1,60%",0
,08/02/2021,"57,37","57,94",Si,"58,6","1,13%","56,88","-1,84%",0,"57,03","-1,58%","0,93%",Si,12397530,Si,"-7,80%",440%,20%,"0,00",0,"-1,60%",0
,07/30/2021,"56,72","57,29",Si,"57,81","0,91%","56,62","-1,16%",0,"56,84","-0,78%","-0,98%",No,13185460,Si,"-1,94%",335%,49%,"1,00",0,"-0,78%",0
,07/29/2021,57,"57,57",Si,"57,74","0,30%","56,82","-1,30%",,"57,28","-0,50%","2,72%",No,15438980,Si,"14,82%",41%,43%,"1,00",0,"-0,50%",0
,07/28/2021,"55,42","55,97",Si,"55,86","-0,20%","54,69","-2,29%",,"55,49","-0,87%","0,76%",No,10549240,Si,"-21,54%",-197%,0%,"0,00",0,"-1,60%",0
,07/27/2021,"55,21","55,76",Si,"55,36","-0,72%","54,22","-2,77%",,55,"-1,37%","-1,00%",No,13374880,Si,"-0,53%",-443%,-21%,"0,00",0,"-1,60%",0
,07/26/2021,"55,24","55,79",Si,"55,91","0,21%","55,1","-1,24%",,"55,77","-0,04%","0,55%",No,9589042,Si,"-28,68%",0%,46%,"1,00",0,"-0,04%",0
,07/23/2021,"55,31","55,86",Si,"55,79","-0,13%","54,81","-1,89%",,"54,94","-1,65%","-0,59%",No,14535960,Si,"8,11%",-162%,18%,"0,00",0,"-1,60%",0
,07/22/2021,"56,75","57,32",Si,"56,76","-0,97%","55,49","-3,19%",,"55,64","-2,93%","-0,53%",No,12019880,Si,"-10,60%",-563%,-39%,"0,00",0,"-1,60%",0
,07/21/2021,"56,8","57,37",Si,"57,47","0,18%","56,56","-1,41%",0,"57,05","-0,55%","1,16%",No,11035170,Si,"-17,93%",-15%,39%,"1,00",0,"-0,55%",0
,07/20/2021,"54,26","54,80",Si,"56,38","2,88%","54,12","-1,25%",0,"56,15","2,46%","0,15%",Si,13292000,Si,"-1,14%",1271%,46%,"1,00",1,"2,20%",1
,07/19/2021,"53,9","54,44",Si,"54,43","-0,02%","52,63","-3,32%","-0,73%","54,18","-0,48%","-2,81%",No,20942080,Si,"55,75%",-108%,-45%,"0,00",0,"-1,60%",0
,07/16/2021,"57,48","58,05",Si,"57,48","-0,99%","55,37","-4,62%",,"55,46","-4,47%","0,93%",No,13611410,Si,"1,23%",-572%,-102%,"0,00",0,"-1,60%",0
,07/15/2021,"57,12","57,69",Si,"57,69","0,00%","56,59","-1,91%",,"56,95","-1,28%","-1,52%",No,12103430,Si,"-9,98%",-101%,17%,"0,00",0,"-1,60%",0
,07/14/2021,"58,89","59,48",Si,"59,36","-0,20%","57,71","-2,97%",,58,"-2,49%","0,27%",No,12520540,Si,"-6,88%",-195%,-30%,"0,00",0,"-1,60%",0
,07/13/2021,"59,04","59,63",Si,"59,26","-0,62%","58,26","-2,30%",,"58,73","-1,51%","0,12%",No,14604230,Si,"8,62%",-396%,0%,"0,00",0,"-1,60%",0
,07/12/2021,"58,56","59,15",Si,"59,17","0,04%","57,82","-2,24%",,"58,97","-0,30%","-0,34%",No,14513200,Si,"7,94%",-80%,2%,"0,00",0,"-1,60%",0
,07/09/2021,"58,8","59,39",Si,"58,92","-0,79%","57,89","-2,52%",,"58,76","-1,06%","4,89%",No,24361340,Si,"81,18%",-475%,-10%,"0,00",0,"-1,60%",0
,07/08/2021,"55,3","55,85",Si,"56,59","1,32%","54,86","-1,78%",0,"56,06","0,37%","-2,28%",Si,14087370,Si,"4,77%",529%,22%,"0,00",0,"-1,60%",0
,07/07/2021,"57,34","57,91",Si,"57,4","-0,89%","56,13","-3,08%",,"56,59","-2,29%","-0,21%",No,13077580,Si,"-2,74%",-522%,-34%,"0,00",0,"-1,60%",0
,07/06/2021,"58,92","59,51",Si,"58,93","-0,97%","57,01","-4,20%",,"57,46","-3,44%","-0,07%",No,16155580,Si,"20,15%",-564%,-83%,"0,00",0,"-1,60%",0
,07/02/2021,"59,11","59,70",Si,"59,32","-0,64%","58,52","-1,98%",,"58,96","-1,24%","0,00%",No,9699563,Si,"-27,86%",-404%,14%,"0,00",0,"-1,60%",0
,07/01/2021,"59,44","60,03",Si,"59,73","-0,51%","58,78","-2,09%",,"59,11","-1,54%","0,46%",No,11752120,Si,"-12,60%",-342%,9%,"0,00",0,"-1,60%",0
,06/30/2021,"58,74","59,33",Si,"59,47","0,24%","58,61","-1,21%",,"59,17","-0,27%","-0,15%",No,12330500,Si,"-8,29%",14%,47%,"1,00",0,"-0,27%",0
,06/29/2021,"59,2","59,79",Si,"59,55","-0,40%","58,7","-1,83%",,"58,83","-1,61%","0,95%",No,12171830,Si,"-9,47%",-293%,20%,"0,00",0,"-1,60%",0
,06/28/2021,"60,31","60,91",Si,"60,38","-0,88%","58,43","-4,08%",,"58,64","-3,73%","0,02%",No,17152710,Si,"27,57%",-517%,-78%,"0,00",0,"-1,60%",0
