,,,"1,00%",,"1,34%","2,31%",,"-1,84%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"72,18","72,90",Si,"72,2","-0,96%","68,81","-5,61%",,"70,25","-3,64%","-3,80%",No,72528550,Si,"149,45%",-248%,-108%,"0,00",0,"-1,84%",0
,08/11/2021,"76,04","76,80",Si,"76,05","-0,98%","73,72","-4,01%",,"75,03","-2,31%","0,17%",No,31624850,Si,"8,77%",-250%,-48%,"0,00",0,"-1,84%",0
,08/10/2021,"79,82","80,62",Si,"79,82","-0,99%","75,77","-6,01%",,"75,91","-5,84%","-0,49%",No,40705020,Si,"40,00%",-252%,-123%,"0,00",0,"-1,84%",0
,08/09/2021,"81,73","82,55",Si,"82,04","-0,61%","80,08","-2,99%",,"80,21","-2,83%","-0,33%",No,13363280,Si,"-54,04%",-194%,-11%,"0,00",0,"-1,84%",0
,08/06/2021,"81,2","82,01",Si,"82,88","1,06%","81,05","-1,17%",,82,"-0,01%","-0,36%",Si,14612560,Si,"-49,74%",63%,57%,"1,00",0,"-0,01%",0
,08/05/2021,"82,14","82,96",Si,"83,07","0,13%","81,16","-2,17%",,"81,49","-1,77%","0,20%",No,14820990,Si,"-49,03%",-80%,20%,"0,00",0,"-1,84%",0
,08/04/2021,"80,45","81,25",Si,"83,09","2,26%","79,54","-2,11%",,"81,98","0,89%","-0,51%",Si,29176930,Si,"0,35%",247%,22%,"0,00",0,"-1,84%",0
,08/03/2021,"78,87","79,66",Si,"81,07","1,77%","77,94","-2,16%",,"80,86","1,51%","1,58%",No,25807610,Si,"-11,24%",172%,20%,"0,00",0,"-1,84%",0
,08/02/2021,"79,04","79,83",Si,"79,49","-0,43%","77,47","-2,96%","-0,12%","77,64","-2,74%","1,88%",No,14904230,Si,"-48,74%",-165%,-9%,"0,00",0,"-1,84%",0
,07/30/2021,"76,13","76,89",Si,"78,12","1,60%","76,06","-1,08%",0,"77,58","0,90%","-1,23%",Si,12528850,Si,"-56,91%",145%,60%,"1,00",0,"0,90%",1
,07/29/2021,"76,08","76,84",Si,"77,12","0,36%","75,95","-1,16%",,"77,08","0,31%","0,70%",No,14529400,Si,"-50,03%",-44%,57%,"1,00",0,"0,31%",1
,07/28/2021,"74,55","75,30",Si,"76,01","0,95%","74,38","-1,22%",,"75,55","0,34%","0,44%",No,14348260,Si,"-50,65%",46%,55%,"1,00",0,"0,34%",1
,07/27/2021,"74,79","75,54",Si,"74,79","-0,99%","72,51","-4,01%",,"74,22","-1,74%","-1,98%",No,23940460,Si,"-17,66%",-252%,-48%,"0,00",0,"-1,84%",0
,07/26/2021,"75,81","76,57",Si,"77,48","1,19%","75,51","-1,38%",,"76,3","-0,35%","-0,17%",Si,12023890,Si,"-58,65%",83%,49%,"1,00",0,"-0,35%",0
,07/23/2021,"75,93","76,69",Si,"76,04","-0,85%","74,9","-2,33%",,"75,94","-0,98%","0,53%",No,12345200,Si,"-57,54%",-230%,14%,"0,00",0,"-1,84%",0
,07/22/2021,"76,23","76,99",Si,"76,25","-0,96%","74,46","-3,29%",,"75,53","-1,90%","-1,24%",No,19042220,Si,"-34,51%",-248%,-22%,"0,00",0,"-1,84%",0
,07/21/2021,"75,35","76,10",Si,"77,24","1,49%","75,34","-1,00%",0,"77,19","1,43%","-0,05%",Si,15945840,Si,"-45,16%",129%,63%,"1,00",0,"1,43%",1
,07/20/2021,"74,66","75,41",Si,"75,92","0,68%","73,77","-2,17%",0,"75,39","-0,02%","0,11%",No,14855760,Si,"-48,91%",5%,20%,"0,00",0,"-1,84%",0
