,,,"1,00%",,"9,67%","7,46%",,"-4,35%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"24,45","24,69",No,"25,76","4,31%","23,59","-4,47%",,"24,89","0,79%","9,40%",No,189542200,Si,"196,34%",68%,1%,"0,00",0,"-4,35%",0
,08/11/2021,"23,07","23,30",No,"23,19","-0,48%","22,09","-5,20%",,"22,35","-4,08%","0,65%",No,34678970,Si,"-45,78%",-118%,-15%,"0,00",0,"-4,35%",0
,08/10/2021,"23,01","23,24",No,"23,52","1,20%","22,78","-1,98%",,"22,92","-1,38%","0,35%",Si,25947920,Si,"-59,43%",-53%,56%,"1,00",0,"-1,38%",0
,08/09/2021,"21,85","22,07",No,"23,28","5,49%","21,8","-1,22%",,"22,93","3,90%","0,14%",Si,35611060,Si,"-44,32%",113%,73%,"1,00",0,"3,90%",1
,08/06/2021,"22,64","22,87",No,"22,69","-0,77%","21,79","-4,71%",,"21,82","-4,58%","0,53%",No,24200670,Si,"-62,16%",-130%,-4%,"0,00",0,"-4,35%",0
,08/05/2021,"22,22","22,44",No,"22,77","1,46%","22,02","-1,88%",,"22,52","0,35%","-0,36%",Si,18575250,Si,"-70,96%",-43%,58%,"1,00",0,"0,35%",1
,08/04/2021,"22,2","22,42",No,"22,54","0,53%","22,07","-1,57%",,"22,3","-0,54%","-0,18%",No,15537430,Si,"-75,71%",-80%,65%,"1,00",0,"-0,54%",0
,08/03/2021,"22,03","22,25",No,"22,27","0,09%","21,71","-2,43%",,"22,24","-0,05%","-0,32%",No,17040070,Si,"-73,36%",-97%,46%,"1,00",0,"-0,05%",0
,08/02/2021,"21,91","22,13",No,"22,37","1,09%","21,48","-2,93%",0,"22,1","-0,13%","0,92%",Si,21372880,Si,"-66,58%",-58%,35%,"1,00",0,"-0,13%",0
,07/30/2021,"21,85","22,07",No,"22,41","1,55%","21,71","-1,62%",0,"21,71","-1,62%","-1,49%",Si,15889150,Si,"-75,16%",-40%,64%,"1,00",0,"-1,62%",0
,07/29/2021,"22,78","23,01",No,"22,85","-0,69%","22,14","-3,77%",,"22,18","-3,60%","0,98%",No,19219080,Si,"-69,95%",-127%,16%,"1,00",0,"-3,60%",0
,07/28/2021,"21,75","21,97",No,"22,62","2,97%","21,69","-1,26%",,"22,56","2,70%","0,32%",Si,25073560,Si,"-60,80%",15%,72%,"1,00",0,"2,70%",1
,07/27/2021,"21,96","22,18",No,"22,11","-0,31%","21,09","-4,91%",,"21,68","-2,25%","-0,77%",No,23078730,Si,"-63,92%",-112%,-9%,"0,00",0,"-4,35%",0
,07/26/2021,"21,8","22,02",No,"22,3","1,28%","21,48","-2,44%",,"22,13","0,51%","-0,05%",Si,16267890,Si,"-74,57%",-50%,46%,"1,00",0,"0,51%",1
,07/23/2021,"22,01","22,23",No,"22,08","-0,68%","21,51","-3,24%",,"21,81","-1,89%","-0,27%",No,17653320,Si,"-72,40%",-126%,28%,"1,00",0,"-1,89%",0
