,,,"1,00%",,"5,65%","6,77%",,"-5,43%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"35,89","36,25",Si,"37,67","3,92%","34,7","-4,27%",,"36,83","1,60%","-4,95%",Si,7284606,Si,"40,00%",-2%,26%,"1,00",0,"1,60%",1
,08/11/2021,"39,43","39,82",Si,"40,8","2,45%","37,2","-6,59%",,"37,76","-5,18%","2,44%",No,14019120,Si,"169,43%",-39%,-15%,"0,00",0,"-5,43%",0
,08/10/2021,"38,17","38,55",Si,"39,04","1,27%","36,59","-5,09%",,"38,49","-0,16%","0,90%",Si,12301880,Si,"136,43%",-68%,11%,"1,00",0,"-0,16%",0
,08/09/2021,"37,09","37,46",Si,"39,95","6,64%","36,52","-2,51%",,"37,83","0,99%","6,06%",No,24700590,Si,"374,71%",67%,56%,"1,00",0,"0,99%",1
,08/06/2021,"33,62","33,96",Si,"35,76","5,31%","32,81","-3,38%",,"34,97","2,99%","0,09%",Si,11749480,Si,"125,81%",33%,41%,"1,00",0,"2,99%",1
,08/05/2021,"31,8","32,12",Si,"34,28","6,73%","30,85","-3,95%",,"33,59","4,58%","-2,78%",Si,10273800,Si,"97,45%",69%,31%,"1,00",0,"4,58%",1
,08/04/2021,32,"32,32",Si,"33,8","4,58%","31,75","-1,76%",,"32,71","1,21%","1,65%",No,9251090,Si,"77,79%",15%,69%,"1,00",0,"1,21%",1
,08/03/2021,"32,79","33,12",Si,"33,1","-0,05%","30,79","-7,03%",,"31,48","-4,95%","-1,97%",No,8041859,Si,"54,55%",-101%,-22%,"0,00",0,"-5,43%",0
,08/02/2021,"32,92","33,25",Si,"35,39","6,44%","32,43","-2,46%",0,"33,45","0,60%","-0,09%",Si,11575920,Si,"122,47%",62%,57%,"1,00",0,"0,60%",1
,07/30/2021,"31,66","31,98",Si,"33,1","3,51%","31,35","-1,96%",0,"32,95","3,04%","-0,75%",Si,5497252,Si,"5,65%",-12%,66%,"1,00",0,"3,04%",1
,07/29/2021,"32,94","33,27",Si,"34,02","2,26%","31,88","-4,18%",,"31,9","-4,12%","-0,06%",Si,7116203,Si,"36,76%",-43%,27%,"1,00",0,"-4,12%",0
,07/28/2021,"33,1","33,43",Si,"33,89","1,37%","32,02","-4,22%",,"32,96","-1,41%","4,61%",No,8729122,Si,"67,76%",-66%,26%,"1,00",0,"-1,41%",0
,07/27/2021,"32,64","32,97",Si,"33,65","2,07%","30,47","-7,57%",,"31,64","-4,02%","-4,00%",Si,8746227,Si,"68,09%",-48%,-32%,"0,00",0,"-5,43%",0
,07/26/2021,"32,5","32,83",Si,"34,72","5,77%","31,7","-3,43%",,34,"3,58%","15,66%",No,23666940,Si,"354,85%",45%,40%,"1,00",0,"3,58%",1
,07/23/2021,"28,88","29,17",Si,"29,75","1,99%","27,05","-7,26%",,"28,1","-3,66%","0,03%",Si,7639671,Si,"46,82%",-50%,-27%,"0,00",0,"-5,43%",0
,07/22/2021,"29,17","29,46",Si,"29,44","-0,07%","27,72","-5,91%",,"28,87","-2,01%","0,03%",No,7155457,Si,"37,52%",-102%,-3%,"0,00",0,"-5,43%",0
,07/21/2021,"27,8","28,08",Si,"29,91","6,52%","27,61","-1,67%",0,"29,16","3,85%","7,54%",No,11923060,Si,"129,15%",64%,71%,"1,00",0,"3,85%",1
,07/20/2021,"25,37","25,62",Si,"26,32","2,72%","23,93","-6,61%","-0,18%","25,85","0,88%","-2,27%",Si,6995492,Si,"34,44%",-32%,-15%,"0,00",0,"-5,43%",0
,07/19/2021,"25,99","26,25",Si,"26,87","2,36%","25,57","-2,59%",0,"25,96","-1,10%","-4,73%",Si,6156008,Si,"18,31%",-41%,55%,"1,00",0,"-1,10%",0
,07/16/2021,"28,4","28,68",Si,"28,75","0,23%","27,16","-5,31%",,"27,28","-4,89%","0,64%",No,4685489,No,"-9,95%",-94%,7%,"1,00",0,"-4,89%",0
,07/15/2021,"27,85","28,13",Si,"29,36","4,38%","27,36","-2,73%",,"28,22","0,33%","-2,59%",Si,4710476,No,"-9,47%",10%,52%,"1,00",0,"0,33%",1
,07/14/2021,"30,63","30,94",Si,"30,73","-0,67%","28,51","-7,84%",,"28,59","-7,58%","1,90%",No,5016881,Si,"-3,58%",-117%,-37%,"0,00",0,"-5,43%",0
,07/13/2021,"31,4","31,71",Si,"31,5","-0,67%","30,02","-5,34%",,"30,06","-5,22%","0,00%",No,4132921,No,"-20,57%",-117%,7%,"1,00",0,"-5,22%",0
,07/12/2021,"33,01","33,34",Si,"33,11","-0,69%","30,84","-7,50%",,"31,4","-5,82%","0,55%",No,5351139,Si,"2,84%",-117%,-31%,"0,00",0,"-5,43%",0
,07/09/2021,"33,98","34,32",Si,"34,49","0,50%","32,65","-4,87%",,"32,83","-4,34%","0,77%",No,5794639,Si,"11,37%",-88%,15%,"1,00",0,"-4,34%",0
