,,,"1,00%",,"3,11%","4,13%",,"-2,95%",,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/11/2021,"45,06","45,51",Si,"45,12","-0,86%","42,43","-6,77%","44,17","-2,95%","1,37%",No,10016630,Si,"-34,23%",-144%,-52%,"0,00",0,"-2,95%",0
,08/10/2021,"46,37","46,83",Si,"46,57","-0,56%","43,5","-7,12%","44,45","-5,09%","0,48%",No,9994504,Si,"-34,38%",-129%,-60%,"0,00",0,"-2,95%",0
,08/09/2021,"46,9","47,37",Si,"47,27","-0,21%","45,54","-3,86%","46,15","-2,57%","0,58%",No,5943661,Si,"-60,98%",-111%,13%,"0,00",0,"-2,95%",0
,08/06/2021,"46,33","46,79",Si,"47,27","1,02%","46,2","-1,27%","46,63","-0,35%","-1,78%",Si,6201980,Si,"-59,28%",-47%,72%,"1,00",0,"-0,35%",0
,08/05/2021,"48,17","48,65",Si,"48,19","-0,95%","46,44","-4,55%","47,17","-3,05%","1,18%",No,8580697,Si,"-43,66%",-149%,-2%,"0,00",0,"-2,95%",0
,08/04/2021,"46,16","46,62",Si,"48,15","3,28%","46,05","-1,23%","47,61","2,12%","0,41%",Si,13768860,Si,"-9,60%",69%,72%,"1,00",0,"2,12%",1
,08/03/2021,"45,29","45,74",Si,"45,98","0,52%","43,61","-4,66%","45,97","0,50%","0,18%",No,10801370,Si,"-29,08%",-73%,-5%,"0,00",0,"-2,95%",0
,08/02/2021,"45,19","45,64",Si,"46,89","2,73%","44,88","-1,67%","45,21","-0,95%","1,80%",No,17018650,Si,"11,74%",41%,62%,"1,00",0,"-0,95%",0
,07/30/2021,"42,19","42,61",Si,"44,5","4,43%","42,07","-1,27%","44,39","4,17%","-2,90%",Si,13599230,Si,"-10,71%",129%,71%,"1,00",1,"4,13%",1
,07/29/2021,"41,23","41,64",Si,"43,69","4,92%","41,23","-0,99%","43,45","4,34%","0,12%",Si,15318440,Si,"0,58%",154%,78%,"1,00",1,"4,13%",1
,07/28/2021,"39,54","39,94",Si,"41,5","3,92%","39,02","-2,29%","41,18","3,12%","1,00%",Si,12983040,Si,"-14,76%",103%,48%,"1,00",0,"3,12%",1
,07/27/2021,"40,8","41,21",Si,"40,85","-0,87%","36,71","-10,92%","39,15","-4,99%","-1,57%",No,17917420,Si,"17,64%",-145%,-145%,"0,00",0,"-2,95%",0
,07/26/2021,"40,58","40,99",Si,"41,79","1,96%","40,58","-0,99%","41,45","1,13%","-2,33%",Si,7703459,Si,"-49,42%",1%,78%,"1,00",0,"1,13%",1
,07/23/2021,"41,29","41,70",Si,"41,61","-0,22%","39,95","-4,20%","41,55","-0,37%","1,35%",No,8740443,Si,"-42,61%",-112%,6%,"0,00",0,"-2,95%",0
,07/22/2021,"40,9","41,31",Si,"41,62","0,75%","39,9","-3,41%","40,74","-1,38%","-2,27%",No,8148866,Si,"-46,50%",-61%,23%,"0,00",0,"-2,95%",0
,07/21/2021,"38,67","39,06",Si,"41,85","7,15%","38,6","-1,17%","41,85","7,15%","0,86%",Si,12599670,Si,"-17,27%",270%,74%,"1,00",1,"4,13%",1
,07/20/2021,"37,24","37,61",Si,"39,08","3,90%","35,85","-4,69%","38,34","1,93%","1,09%",No,12487170,Si,"-18,01%",102%,-5%,"0,00",0,"-2,95%",0
,07/19/2021,"35,21","35,56",Si,"36,93","3,85%","34,71","-2,40%","36,84","3,59%","-4,22%",Si,17527779,Si,"15,08%",99%,46%,"1,00",0,"3,59%",1
,07/16/2021,"40,03","40,43",Si,"40,45","0,05%","36,59","-9,50%","36,76","-9,08%","1,55%",No,14425570,Si,"-5,29%",-97%,-113%,"0,00",0,"-2,95%",0
,07/15/2021,"41,79","42,21",Si,"41,8","-0,97%","38,55","-8,67%","39,42","-6,61%","-0,88%",No,14968010,Si,"-1,72%",-150%,-95%,"0,00",0,"-2,95%",0
,07/14/2021,"43,54","43,98",Si,"44,79","1,85%","41,86","-4,81%","42,16","-4,13%","2,16%",No,15361470,Si,"0,86%",-4%,-8%,"0,00",0,"-2,95%",0
,07/13/2021,"42,75","43,18",Si,"43,32","0,33%","42,1","-2,50%","42,62","-1,29%","-1,34%",No,9289264,Si,"-39,01%",-83%,44%,"1,00",0,"-1,29%",0
,07/12/2021,"42,16","42,58",Si,"43,33","1,76%","41,81","-1,81%","43,33","1,76%","0,93%",Si,9021765,Si,"-40,77%",-9%,59%,"1,00",0,"1,76%",1
,07/09/2021,"40,18","40,58",Si,"41,94","3,35%","39,25","-3,28%","41,77","2,93%","1,01%",No,9799611,Si,"-35,66%",73%,26%,"0,00",0,"-2,95%",0
,07/08/2021,"38,55","38,94",Si,"40,38","3,71%","37,76","-3,02%","39,78","2,17%","-6,52%",Si,14764350,Si,"-3,06%",92%,32%,"0,00",0,"-2,95%",0
,07/07/2021,"43,8","44,24",Si,"43,91","-0,74%","40,69","-8,02%","41,24","-6,78%","1,77%",No,10623830,Si,"-30,25%",-138%,-80%,"0,00",0,"-2,95%",0
,07/06/2021,"43,64","44,08",Si,"44,14","0,14%","41,36","-6,16%","43,04","-2,35%","0,74%",No,10020290,Si,"-34,21%",-93%,-39%,"0,00",0,"-2,95%",0
,07/02/2021,"43,57","44,01",Si,"43,7","-0,69%","42,25","-3,99%","43,32","-1,56%","2,35%",No,10933300,Si,"-28,22%",-136%,10%,"0,00",0,"-2,95%",0
,07/01/2021,"44,15","44,59",Si,"44,37","-0,50%","42,13","-5,52%","42,57","-4,53%","-0,88%",No,11578170,Si,"-23,98%",-126%,-24%,"0,00",0,"-2,95%",0
,06/30/2021,"44,37","44,81",Si,"44,73","-0,19%","43,67","-2,55%","44,54","-0,61%","-0,60%",No,9830905,Si,"-35,45%",-110%,43%,"1,00",0,"-0,61%",0
,06/29/2021,"43,31","43,74",Si,"44,69","2,16%","42,88","-1,97%","44,64","2,05%","-0,78%",Si,13090200,Si,"-14,05%",12%,56%,"1,00",0,"2,05%",1
,06/28/2021,"41,5","41,92",Si,"44,08","5,17%","41,45","-1,11%","43,65","4,14%","2,07%",No,18209311,Si,"19,56%",167%,75%,"1,00",1,"4,13%",1
