,,,"1,00%",,"4,11%","5,73%",,"-4,51%",,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"26,79","27,06",Si,"27,43","1,38%","25,51","-5,72%","25,94","-4,13%","-2,08%",Si,22996740,Si,"153,68%",13%,-79%,"0,00",0,"-4,51%",0
,08/11/2021,"29,85","30,15",Si,30,"-0,49%","26,5","-12,10%","27,36","-9,25%","-4,72%",No,38907080,Si,"329,19%",-140%,-280%,"0,00",0,"-4,51%",0
,08/10/2021,"34,75","35,10",Si,"34,8","-0,85%",31,"-11,67%","31,33","-10,73%","-1,31%",No,27157410,Si,"199,57%",-169%,-266%,"0,00",0,"-4,51%",0
,08/09/2021,33,"33,33",Si,"35,54","6,63%","32,84","-1,47%","35,21","5,64%","-1,11%",Si,18125930,Si,"99,95%",443%,54%,"1,00",1,"5,73%",1
,08/06/2021,"31,79","32,11",Si,"35,62","10,94%","31,43","-2,11%","33,37","3,93%","0,82%",Si,38723360,Si,"327,16%",796%,34%,"1,00",1,"5,73%",1
,08/05/2021,31,"31,31",Si,"32,16","2,71%","30,6","-2,27%","31,53","0,70%","0,71%",Si,13663670,Si,"50,72%",122%,29%,"1,00",0,"0,70%",1
,08/04/2021,"31,32","31,63",Si,"32,62","3,12%","30,51","-3,55%","30,78","-2,70%","-0,25%",Si,11296890,Si,"24,62%",156%,-11%,"1,00",0,"-2,70%",0
,08/03/2021,"31,44","31,75",Si,"31,75","-0,01%","29,84","-6,03%","31,4","-1,12%","-1,35%",No,11706320,Si,"29,13%",-101%,-89%,"0,00",0,"-4,51%",0
,08/02/2021,"29,82","30,12",Si,"32,8","8,90%","29,45","-2,22%","31,87","5,82%","-0,57%",Si,15638530,Si,"72,51%",629%,30%,"1,00",1,"5,73%",1
,07/30/2021,"30,82","31,13",Si,"31,24","0,36%","29,58","-4,97%","29,99","-3,66%","0,13%",No,9282971,Si,"2,40%",-71%,-56%,"0,00",0,"-4,51%",0
,07/29/2021,"31,16","31,47",Si,"32,01","1,71%","30,47","-3,18%","30,78","-2,20%","-0,10%",Si,10094750,Si,"11,36%",40%,0%,"1,00",0,"-2,20%",0
,07/28/2021,"30,47","30,77",Si,"31,75","3,17%","30,15","-2,03%","31,19","1,35%","0,73%",Si,12894120,Si,"42,24%",160%,36%,"1,00",0,"1,35%",1
,07/27/2021,"30,37","30,67",Si,"30,98","1,00%","28,49","-7,12%","30,25","-1,38%","-0,82%",No,13380770,Si,"47,60%",-18%,-123%,"0,00",0,"-4,51%",0
,07/26/2021,"29,58","29,88",Si,"31,15","4,26%","29,19","-2,30%","30,62","2,49%","0,00%",Si,15401000,Si,"69,89%",249%,28%,"1,00",0,"2,49%",1
,07/23/2021,"30,5","30,81",Si,"31,17","1,18%","28,86","-6,31%","29,58","-3,98%","-1,04%",Si,19844920,Si,"118,91%",-3%,-98%,"0,00",0,"-4,51%",0
,07/22/2021,"33,13","33,46",Si,"33,69","0,68%","30,63","-8,46%","30,82","-7,89%","-0,72%",No,22501950,Si,"148,22%",-44%,-165%,"0,00",0,"-4,51%",0
,07/21/2021,"31,26","31,57",Si,"33,9","7,37%","31,13","-1,40%","33,37","5,69%","-2,40%",Si,29571710,Si,"226,21%",504%,56%,"1,00",1,"5,73%",1
,07/20/2021,"31,09","31,40",Si,"32,37","3,09%","29,54","-5,93%","32,03","2,00%","-4,04%",Si,43650170,Si,"381,51%",153%,-86%,"0,00",0,"-4,51%",0
,07/19/2021,"29,45","29,74",Si,"32,97","10,84%","28,63","-3,75%","32,4","8,93%","-2,48%",Si,69866800,Si,"670,70%",788%,-18%,"1,00",1,"5,73%",1
,07/16/2021,"32,54","32,87",Si,"33,3","1,32%","30,07","-8,51%","30,2","-8,11%","2,52%",No,48790660,Si,"438,21%",8%,-167%,"0,00",0,"-4,51%",0
,07/15/2021,"33,03","33,36",Si,"34,44","3,24%","31,32","-6,12%","31,74","-4,86%","-0,12%",Si,63432250,Si,"599,72%",165%,-92%,"0,00",0,"-4,51%",0
,07/14/2021,"37,27","37,64",Si,"37,97","0,87%","32,81","-12,84%","33,07","-12,15%","-1,30%",No,85253340,Si,"840,43%",-29%,-303%,"0,00",0,"-4,51%",0
,07/13/2021,"40,34","40,74",Si,"41,56","2,00%","37,51","-7,94%","37,76","-7,32%","-0,86%",Si,81501170,Si,"799,04%",64%,-149%,"0,00",0,"-4,51%",0
,07/12/2021,"49,55","50,05",Si,"50,75","1,41%","39,81","-20,45%","40,69","-18,69%","0,71%",Si,136485500,Si,"1405,58%",15%,-542%,"0,00",0,"-4,51%",0
,07/09/2021,"50,94","51,45",Si,"52,63","2,29%","48,46","-5,81%","49,2","-4,37%","-3,32%",Si,62594490,Si,"590,48%",88%,-82%,"0,00",0,"-4,51%",0
,07/08/2021,"43,83","44,27",Si,"52,76","19,18%","43,05","-2,75%","52,69","19,02%","-2,43%",Si,87460540,Si,"864,78%",1471%,14%,"1,00",1,"5,73%",1
,07/07/2021,"46,43","46,89",Si,"46,76","-0,29%","43,02","-8,26%","44,92","-4,21%","0,26%",No,32690050,Si,"260,61%",-123%,-159%,"0,00",0,"-4,51%",0
