,,,"1,00%",,"2,45%","3,23%",,"-2,50%",,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/12/2021,"47,91","48,39",Si,"48,01","-0,78%","46,55","-3,80%","47,24","-2,37%","-0,62%",No,9323627,Si,"-13,69%",-225%,-39%,"0,00",0,"-2,50%",0
,08/11/2021,"47,14","47,61",Si,"48,41","1,68%","46,46","-2,42%","48,21","1,26%","-1,13%",Si,12779270,Si,"18,30%",167%,12%,"1,00",0,"1,26%",1
,08/10/2021,"46,37","46,83",Si,"48,24","3,00%","46,17","-1,42%","47,68","1,81%","-0,17%",Si,12551750,Si,"16,20%",378%,48%,"1,00",0,"1,81%",1
,08/09/2021,"46,99","47,46",Si,47,"-0,97%","45,53","-4,07%","46,45","-2,13%","-1,32%",No,13064800,Si,"20,95%",-254%,-48%,"0,00",0,"-2,50%",0
,08/06/2021,"47,72","48,20",Si,"48,13","-0,14%","46,58","-3,36%","47,62","-1,20%","1,02%",No,9919257,Si,"-8,17%",-122%,-23%,"0,00",0,"-2,50%",0
,08/05/2021,"45,52","45,98",Si,"47,67","3,69%","45,38","-1,29%","47,24","2,75%","0,53%",Si,12644620,Si,"17,06%",486%,53%,"1,00",1,"3,23%",1
,08/04/2021,"45,52","45,98",Si,"46,65","1,47%","44,9","-2,34%","45,28","-1,51%","-2,19%",Si,12205040,Si,"12,99%",134%,15%,"1,00",0,"-1,51%",0
,08/03/2021,"46,12","46,58",Si,"46,57","-0,02%","44,61","-4,23%","46,54","-0,09%","0,11%",No,12596990,Si,"16,62%",-104%,-54%,"0,00",0,"-2,50%",0
,08/02/2021,"46,85","47,32",Si,"48,23","1,93%","45,95","-2,89%","46,07","-2,64%","0,28%",Si,10995900,Si,"1,79%",206%,-6%,"0,00",0,"-2,50%",0
,07/30/2021,"47,69","48,17",Si,"48,23","0,13%","46,49","-3,48%","46,72","-3,00%","-1,65%",No,12123470,Si,"12,23%",-79%,-27%,"0,00",0,"-2,50%",0
,07/29/2021,"49,58","50,08",Si,"49,6","-0,95%","48,46","-3,23%","48,49","-3,17%","0,90%",No,7643569,Si,"-29,24%",-251%,-18%,"0,00",0,"-2,50%",0
,07/28/2021,"49,08","49,57",Si,"49,51","-0,12%","48,04","-3,09%","49,14","-0,87%","0,88%",No,9772459,Si,"-9,53%",-120%,-13%,"0,00",0,"-2,50%",0
,07/27/2021,"49,11","49,60",Si,"49,57","-0,06%","48,09","-3,05%","48,65","-1,92%","-0,71%",No,10559900,Si,"-2,24%",-110%,-11%,"0,00",0,"-2,50%",0
,07/26/2021,"47,5","47,98",Si,"49,53","3,24%","47,4","-1,20%","49,46","3,10%","-0,06%",Si,10775250,Si,"-0,25%",416%,56%,"1,00",1,"3,23%",1
,07/23/2021,"48,14","48,62",Si,"48,48","-0,29%","47,16","-3,01%","47,53","-2,24%","0,40%",No,9491348,Si,"-12,13%",-146%,-10%,"0,00",0,"-2,50%",0
,07/22/2021,"47,69","48,17",Si,"48,7","1,11%","46,8","-2,84%","47,95","-0,45%","-0,85%",Si,12922280,Si,"19,63%",76%,-4%,"0,00",0,"-2,50%",0
,07/21/2021,"47,12","47,59",Si,"48,94","2,83%","46,99","-1,26%","48,1","1,07%","1,73%",No,23048280,Si,"113,37%",351%,54%,"1,00",0,"1,07%",1
,07/20/2021,"43,55","43,99",Si,"46,46","5,63%","43,07","-2,08%","46,32","5,31%","0,21%",Si,21894040,Si,"102,68%",795%,24%,"1,00",1,"3,23%",1
,07/19/2021,"43,7","44,14",Si,"44,65","1,16%","42,56","-3,57%","43,46","-1,53%","-5,02%",Si,26444010,Si,"144,81%",85%,-30%,"0,00",0,"-2,50%",0
,07/16/2021,"48,45","48,93",Si,"48,48","-0,93%","45,83","-6,34%","46,01","-5,98%","1,55%",No,13760720,Si,"27,39%",-248%,-132%,"0,00",0,"-2,50%",0
,07/15/2021,"47,9","48,38",Si,"48,63","0,52%","46,96","-2,93%","47,71","-1,38%","-0,54%",No,12331830,Si,"14,16%",-17%,-7%,"0,00",0,"-2,50%",0
,07/14/2021,"49,04","49,53",Si,"49,96","0,87%","47,87","-3,35%","48,16","-2,77%","1,11%",No,14949340,Si,"38,39%",38%,-22%,"0,00",0,"-2,50%",0
,07/13/2021,"49,76","50,26",Si,"50,04","-0,43%","48,38","-3,74%","48,5","-3,50%","-1,70%",No,14287160,Si,"32,26%",-169%,-36%,"0,00",0,"-2,50%",0
,07/12/2021,"50,33","50,83",Si,"51,02","0,37%","49,44","-2,74%","50,62","-0,42%","-1,51%",No,11567190,Si,"7,08%",-42%,0%,"0,00",0,"-2,50%",0
,07/09/2021,"50,33","50,83",Si,"51,32","0,96%","49,97","-1,70%","51,1","0,52%","1,35%",No,9914705,Si,"-8,21%",52%,38%,"1,00",0,"0,52%",1
,07/08/2021,"49,08","49,57",Si,"50,52","1,91%","48,57","-2,02%","49,66","0,18%","-2,43%",Si,13207760,Si,"22,27%",205%,26%,"1,00",0,"0,18%",1
,07/07/2021,"51,04","51,55",Si,"51,87","0,62%","49,78","-3,43%","50,3","-2,43%","-0,78%",No,12719050,Si,"17,75%",-1%,-25%,"0,00",0,"-2,50%",0
,07/06/2021,"52,68","53,21",Si,"53,21","0,01%","51,02","-4,11%","51,44","-3,32%","-0,17%",No,10652340,Si,"-1,39%",-99%,-50%,"0,00",0,"-2,50%",0
,07/02/2021,"53,17","53,70",Si,"53,17","-0,99%","52,09","-3,00%","52,77","-1,73%","0,17%",No,9219856,Si,"-14,65%",-258%,-10%,"0,00",0,"-2,50%",0
,07/01/2021,"52,79","53,32",Si,"53,76","0,83%","52,69","-1,18%","53,08","-0,45%","0,96%",No,8577588,Si,"-20,59%",32%,57%,"1,00",0,"-0,45%",0
,06/30/2021,"52,27","52,79",Si,"52,96","0,32%","51,87","-1,75%","52,29","-0,95%","0,23%",No,9244478,Si,"-14,42%",-50%,36%,"1,00",0,"-0,95%",0
,06/29/2021,"52,66","53,19",Si,"53,08","-0,20%","52,03","-2,17%","52,15","-1,95%","0,32%",No,12598310,Si,"16,63%",-132%,21%,"1,00",0,"-1,95%",0
,06/28/2021,"53,5","54,04",Si,"53,51","-0,97%","51,67","-4,38%","52,49","-2,86%","-0,71%",No,19098760,Si,"76,81%",-255%,-60%,"0,00",0,"-2,50%",0
,06/25/2021,"54,52","55,07",Si,"54,57","-0,90%","53,72","-2,44%","53,88","-2,15%","0,33%",No,12256370,Si,"13,46%",-243%,11%,"1,00",0,"-2,15%",0
,06/24/2021,"55,11","55,66",Si,"55,39","-0,49%","53,96","-3,06%","54,34","-2,37%","-0,02%",No,11548560,Si,"6,91%",-177%,-12%,"0,00",0,"-2,50%",0
,06/23/2021,"55,13","55,68",Si,"55,49","-0,34%","54,9","-1,40%","55,12","-1,01%","-0,07%",No,9957545,Si,"-7,82%",-155%,49%,"1,00",0,"-1,01%",0
,06/22/2021,"55,49","56,04",Si,"55,57","-0,85%","54,1","-3,47%","55,17","-1,56%","-0,36%",No,9819669,Si,"-9,09%",-235%,-27%,"0,00",0,"-2,50%",0
,06/21/2021,"55,24","55,79",Si,"55,88","0,16%","54,55","-2,23%","55,69","-0,18%","0,58%",No,10891570,Si,"0,83%",-75%,19%,"1,00",0,"-0,18%",0
,06/18/2021,"53,87","54,41",Si,"55,38","1,79%","53,54","-1,60%","54,92","0,94%","-0,68%",Si,12490750,Si,"15,63%",184%,42%,"1,00",0,"0,94%",1
,06/17/2021,"55,77","56,33",Si,"56,41","0,15%","53,48","-5,06%","54,24","-3,71%","0,31%",No,12509920,Si,"15,81%",-77%,-85%,"0,00",0,"-2,50%",0
,06/16/2021,"55,18","55,73",Si,"56,1","0,66%","54,98","-1,35%","55,6","-0,24%","-0,20%",No,9952010,Si,"-7,87%",5%,51%,"1,00",0,"-0,24%",0
,06/15/2021,"55,74","56,30",Si,"56,02","-0,49%","54,92","-2,45%","55,29","-1,79%","0,00%",No,7541966,Si,"-30,18%",-178%,11%,"1,00",0,"-1,79%",0
,06/14/2021,"56,63","57,20",Si,57,"-0,34%","55,54","-2,90%","55,74","-2,55%","0,19%",No,8248534,Si,"-23,64%",-155%,-6%,"0,00",0,"-2,50%",0
,06/11/2021,"56,16","56,72",Si,"56,83","0,19%","56,1","-1,10%","56,52","-0,36%","-0,18%",No,9780472,Si,"-9,46%",-70%,60%,"1,00",0,"-0,36%",0
,06/10/2021,"57,6","58,18",Si,"58,07","-0,18%","55,93","-3,86%","56,26","-3,29%","0,65%",No,11663960,Si,"7,98%",-129%,-41%,"0,00",0,"-2,50%",0
,06/09/2021,"57,99","58,57",Si,"58,01","-0,96%","57,17","-2,39%","57,23","-2,29%","0,45%",No,8151464,Si,"-24,54%",-252%,13%,"1,00",0,"-2,29%",0
,06/08/2021,"57,9","58,48",Si,"58,12","-0,61%","56,83","-2,82%","57,73","-1,28%","1,05%",No,10777960,Si,"-0,22%",-198%,-3%,"0,00",0,"-2,50%",0
