accion,estrategia,TP,SL,TR,sample,sample_per
AMAT,estrategia_0,2.33,-1.79,1.49,198,15.74
AMAT,estrategia_1,1.02,-1.93,0.79,239,19.0
AMAT,estrategia_2,0.98,-1.91,0.63,21,18.1
AMC,estrategia_0,9.33,-6.7,11.68,25,1.99
AMC,estrategia_1,2.39,-2.58,1.48,226,17.97
AMC,estrategia_2,8.83,-7.17,4.45,21,18.1
AMD,estrategia_0,2.6,-1.96,1.52,59,23.32
AMD,estrategia_1,1.55,-2.37,0.99,48,18.97
AMD,estrategia_2,1.42,-1.87,0.81,20,17.39
BA,estrategia_0,2.8,-2.23,2.01,127,10.1
BA,estrategia_1,0.69,-1.94,0.58,228,18.12
BA,estrategia_2,0.87,-1.85,0.62,22,18.97
BABA,estrategia_0,1.97,-1.53,0.9,149,11.84
BABA,estrategia_1,0.73,-1.84,0.67,244,19.4
BABA,estrategia_2,0.21,-1.89,0.54,19,16.38
BAC,estrategia_0,1.78,-1.52,0.73,84,6.68
BAC,estrategia_1,0.57,-1.7,0.61,242,19.24
BAC,estrategia_2,0.8,-1.76,0.52,23,19.83
C,estrategia_0,1.63,-1.6,0.55,40,15.81
C,estrategia_1,1.04,-1.7,0.66,52,20.55
C,estrategia_2,0.88,-1.79,0.5,24,20.87
CVX,estrategia_0,2.18,-1.75,1.18,90,7.15
CVX,estrategia_1,0.2,-1.55,0.41,230,18.28
CVX,estrategia_2,0.59,-1.61,0.55,24,20.69
DAL,estrategia_0,2.36,-1.6,1.2,53,20.95
DAL,estrategia_1,1.47,-2.18,0.88,50,19.76
DAL,estrategia_2,1.02,-2.22,0.82,22,19.13
DKNG,estrategia_0,3.65,-2.91,2.5,121,28.47
DKNG,estrategia_1,3.64,-2.94,2.04,82,19.29
DKNG,estrategia_2,2.55,-2.98,1.19,5,16.67
GE,estrategia_0,2.41,-2.05,1.64,246,19.55
GE,estrategia_1,1.04,-2.0,0.84,242,19.24
GE,estrategia_2,1.04,-1.74,0.62,22,18.97
GILD,estrategia_0,1.83,-1.28,0.95,29,11.42
GILD,estrategia_1,0.73,-1.6,0.66,51,20.08
GILD,estrategia_2,0.77,-1.42,0.68,24,20.87
GM,estrategia_0,2.21,-1.59,1.13,135,10.73
GM,estrategia_1,0.49,-1.76,0.54,227,18.04
GM,estrategia_2,0.85,-2.02,0.73,21,18.1
HOOD,estrategia_0,5.56,-4.38,6.45,14,41.18
HOOD,estrategia_1,5.45,-5.81,2.24,5,14.71
HOOD,estrategia_2,5.45,-5.81,2.24,5,15.62
INTC,estrategia_0,2.03,-1.66,1.35,150,11.92
INTC,estrategia_1,0.65,-1.91,0.59,238,18.92
INTC,estrategia_2,0.39,-1.78,0.54,22,18.97
LI,estrategia_0,4.32,-3.46,3.38,53,20.38
LI,estrategia_1,4.22,-3.38,1.97,51,19.62
LI,estrategia_2,4.01,-3.87,2.03,23,19.83
MRNA,estrategia_0,4.2,-2.74,3.0,101,39.92
MRNA,estrategia_1,5.06,-2.27,2.38,52,20.55
MRNA,estrategia_2,5.13,-1.8,2.19,22,19.3
MS,estrategia_0,2.14,-1.77,1.45,156,12.4
MS,estrategia_1,0.69,-1.67,0.64,239,19.0
MS,estrategia_2,0.74,-1.57,0.61,23,19.83
MU,estrategia_0,2.31,-1.84,1.34,242,19.24
MU,estrategia_1,1.55,-2.09,0.93,244,19.4
MU,estrategia_2,0.98,-2.29,0.71,22,18.97
NCLH,estrategia_0,2.89,-2.5,2.18,44,3.5
NCLH,estrategia_1,0.99,-1.7,0.78,221,17.57
NCLH,estrategia_2,1.9,-2.37,0.85,22,18.97
NIO,estrategia_0,4.14,-3.1,2.79,84,11.43
NIO,estrategia_1,4.22,-3.22,2.09,139,18.91
NIO,estrategia_2,3.96,-2.01,1.53,19,20.43
NVDA,estrategia_0,2.46,-2.0,1.68,238,18.92
NVDA,estrategia_1,1.37,-2.12,0.94,244,19.4
NVDA,estrategia_2,1.37,-1.93,0.93,22,18.97
OXY,estrategia_0,2.18,-1.75,1.03,111,8.82
OXY,estrategia_1,0.79,-1.69,0.72,221,17.57
OXY,estrategia_2,2.71,-2.12,1.14,23,19.83
PFE,estrategia_0,2.01,-1.45,1.1,82,6.52
PFE,estrategia_1,0.22,-1.5,0.44,237,18.84
PFE,estrategia_2,0.36,-1.32,0.44,22,18.97
PINS,estrategia_0,2.96,-2.45,1.96,115,19.66
PINS,estrategia_1,2.38,-2.51,1.22,113,19.32
PINS,estrategia_2,1.8,-1.67,0.9,14,19.44
PLTR,estrategia_0,8.72,-3.05,9.31,18,8.22
PLTR,estrategia_1,3.44,-4.11,1.75,38,17.35
PLTR,estrategia_2,2.2,-2.37,1.12,17,18.28
RBLX,estrategia_0,4.72,-2.82,2.74,29,26.61
RBLX,estrategia_1,4.41,-2.52,2.31,21,19.27
RBLX,estrategia_2,3.7,-2.72,2.13,16,17.2
RIOT,estrategia_0,6.84,-5.21,5.67,50,3.97
RIOT,estrategia_1,5.97,-4.44,2.89,235,18.68
RIOT,estrategia_2,7.06,-4.25,3.03,22,18.97
SNAP,estrategia_0,3.22,-2.58,2.71,81,7.23
SNAP,estrategia_1,2.41,-2.45,1.16,214,19.09
SNAP,estrategia_2,2.46,-2.56,1.3,19,20.43
SOXL,estrategia_0,4.13,-2.95,3.11,48,18.97
SOXL,estrategia_1,3.75,-2.84,1.73,51,20.16
SOXL,estrategia_2,3.44,-2.37,1.76,22,19.13
SPCE,estrategia_0,5.83,-4.42,4.11,68,6.98
SPCE,estrategia_1,1.96,-5.42,1.65,165,16.94
SPCE,estrategia_2,6.81,-3.05,3.04,18,19.35
TQQQ,estrategia_0,2.98,-2.63,1.95,185,14.71
TQQQ,estrategia_1,1.81,-2.88,1.1,234,18.6
TQQQ,estrategia_2,1.71,-1.74,0.96,22,18.97
UAL,estrategia_0,3.26,-2.47,2.46,138,10.97
UAL,estrategia_1,0.97,-1.71,0.71,226,17.97
UAL,estrategia_2,1.62,-2.47,1.02,22,18.97
VIAC,estrategia_0,2.95,-1.88,2.16,139,11.05
VIAC,estrategia_1,0.93,-1.82,0.75,225,17.89
VIAC,estrategia_2,2.58,-2.35,1.21,21,18.1
WFC,estrategia_0,2.19,-1.76,1.32,37,14.62
WFC,estrategia_1,1.22,-1.86,0.81,51,20.16
WFC,estrategia_2,0.91,-1.72,0.57,23,20.0
X,estrategia_0,2.74,-2.18,1.84,138,10.97
X,estrategia_1,2.5,-2.51,1.25,235,18.68
X,estrategia_2,3.9,-3.02,1.93,22,18.97
XLE,estrategia_0,2.07,-1.6,0.78,46,18.18
XLE,estrategia_1,1.18,-1.8,0.84,49,19.37
XLE,estrategia_2,0.75,-1.98,0.59,24,20.87
XOM,estrategia_0,2.15,-1.51,1.17,45,17.79
XOM,estrategia_1,0.94,-1.82,0.75,48,18.97
XOM,estrategia_2,0.79,-1.83,0.7,24,20.87
XOP,estrategia_0,2.74,-2.1,1.98,168,13.35
XOP,estrategia_1,0.93,-1.89,0.76,234,18.6
XOP,estrategia_2,1.96,-2.13,1.0,24,20.69
XPEV,estrategia_0,4.08,-3.57,3.28,72,30.0
XPEV,estrategia_1,4.41,-3.67,1.94,46,19.17
XPEV,estrategia_2,4.83,-2.25,2.03,24,20.69
