accion,estrategia,datetime,Type
AMC,0,2021-08-17 09:39:00,buy
AMC,0,2021-08-17 15:54:00,market
AMC,0,2021-08-18 09:36:00,buy
AMC,0,2021-08-18 15:54:00,market
AMC,0,2021-08-27 09:36:00,buy
AMC,0,2021-08-27 15:54:00,market
AMC,0,2021-09-27 09:33:00,buy
AMC,0,2021-09-27 15:54:00,market
AMC,0,2021-10-18 09:42:00,buy
AMC,0,2021-10-18 15:54:00,market
AMC,0,2021-10-19 09:42:00,buy
AMC,0,2021-10-19 15:51:00,Stop Loss
AMC,0,2021-10-27 09:33:00,buy
AMC,0,2021-10-27 15:54:00,market
AMC,0,2021-10-28 09:33:00,buy
AMC,0,2021-10-28 15:54:00,market
AMC,1,2021-08-17 09:39:00,buy
AMC,1,2021-08-17 10:24:00,Take Profit
AMC,1,2021-08-18 09:36:00,buy
AMC,1,2021-08-18 09:42:00,Stop trail Loss
AMC,1,2021-08-27 09:36:00,buy
AMC,1,2021-08-27 09:42:00,Stop trail Loss
AMC,1,2021-09-27 09:33:00,buy
AMC,1,2021-09-27 14:42:00,Stop Loss
AMC,1,2021-10-18 09:42:00,buy
AMC,1,2021-10-18 10:48:00,Take Profit
AMC,1,2021-10-19 09:42:00,buy
AMC,1,2021-10-19 09:57:00,Stop trail Loss
AMC,1,2021-10-27 09:33:00,buy
AMC,1,2021-10-27 10:18:00,Stop Loss
AMC,1,2021-10-28 09:33:00,buy
AMC,1,2021-10-28 15:54:00,market
AMC,2,2021-08-17 09:39:00,buy
AMC,2,2021-08-17 11:45:00,Stop trail Loss
AMC,2,2021-08-18 09:36:00,buy
AMC,2,2021-08-18 15:54:00,market
AMC,2,2021-08-27 09:36:00,buy
AMC,2,2021-08-27 12:45:00,Stop trail Loss
AMC,2,2021-09-27 09:33:00,buy
AMC,2,2021-09-27 15:54:00,market
AMC,2,2021-10-18 09:42:00,buy
AMC,2,2021-10-18 15:54:00,market
AMC,2,2021-10-19 09:42:00,buy
AMC,2,2021-10-19 10:36:00,Stop trail Loss
AMC,2,2021-10-27 09:33:00,buy
AMC,2,2021-10-27 15:54:00,market
AMC,2,2021-10-28 09:33:00,buy
AMC,2,2021-10-28 15:54:00,market
